order_id,customer_id,postal_code,order_date,ship_mode_code,shipping_date
CA-2020-157749,KL-16645,60610.0,2020-06-04,2,2020-06-09
US-2020-169040,GT-14710,98105.0,2020-12-06,S,2020-12-12
CA-2019-119291,JO-15550,19013.0,2019-05-14,1,2019-05-17
CA-2020-135776,EH-13765,98103.0,2020-12-23,S,2020-12-30
US-2021-112347,BS-11380,80219.0,2021-12-02,S,2021-12-06
US-2021-109253,PR-18880,94601.0,2021-08-21,1,2021-08-22
CA-2019-126557,RL-19615,60610.0,2019-07-12,2,2019-07-17
CA-2019-124800,RW-19540,85204.0,2019-09-26,S,2019-09-30
CA-2018-110786,AJ-10795,94110.0,2018-12-29,S,2019-01-02
CA-2019-126725,BS-11665,92105.0,2019-11-17,S,2019-11-21
CA-2020-158694,AI-10855,90036.0,2020-11-10,2,2020-11-13
US-2021-167920,JL-15835,40475.0,2021-12-09,2,2021-12-12
US-2021-162558,Dp-13240,37918.0,2021-10-02,1,2021-10-05
CA-2018-103989,MC-17605,33801.0,2018-03-19,1,2018-03-21
US-2021-169551,RL-19615,19120.0,2021-07-07,1,2021-07-09
US-2021-163790,NL-18310,94526.0,2021-11-02,2,2021-11-04
CA-2018-156244,DH-13675,33180.0,2018-08-12,S,2018-08-16
US-2021-161935,JL-15835,43229.0,2021-07-14,S,2021-07-18
CA-2018-153969,HF-14995,94109.0,2018-09-21,S,2018-09-25
CA-2020-150350,MS-17770,98105.0,2020-08-23,S,2020-08-30
CA-2021-113705,LC-16870,23223.0,2021-03-27,2,2021-03-29
US-2018-147627,HL-15040,72401.0,2018-01-20,S,2018-01-26
CA-2018-144666,JP-15520,94110.0,2018-11-09,2,2018-11-11
CA-2018-168368,GA-14725,65203.0,2018-02-11,2,2018-02-15
CA-2018-169019,LF-17185,78207.0,2018-07-26,S,2018-07-30
CA-2020-137050,SW-20755,10009.0,2020-07-14,2,2020-07-18
CA-2019-132486,JF-15355,92105.0,2019-10-23,2,2019-10-27
US-2018-138247,BF-11170,90045.0,2018-12-24,S,2018-12-29
CA-2020-106950,JE-15715,28205.0,2020-09-02,S,2020-09-06
CA-2020-116526,JA-15970,48227.0,2020-09-01,S,2020-09-05
US-2019-129007,KD-16615,92804.0,2019-09-13,1,2019-09-15
CA-2021-156237,PS-18760,19140.0,2021-09-14,1,2021-09-15
CA-2020-115756,PK-19075,48227.0,2020-09-05,2,2020-09-07
US-2018-140452,BK-11260,60610.0,2018-12-06,S,2018-12-10
CA-2021-121300,MG-17680,44060.0,2021-09-29,0,2021-09-29
CA-2020-146934,AF-10870,7055.0,2020-05-22,S,2020-05-27
CA-2021-122035,EM-13825,57103.0,2021-07-20,S,2021-07-25
CA-2020-163328,TP-21565,97405.0,2020-11-04,2,2020-11-06
CA-2020-156503,NC-18415,28540.0,2020-10-14,S,2020-10-20
US-2021-133361,AJ-10780,21215.0,2021-05-14,1,2021-05-17
CA-2020-145982,TB-21055,2169.0,2020-08-27,2,2020-09-01
CA-2019-142237,CK-12595,19134.0,2019-07-11,1,2019-07-13
CA-2019-121188,CB-12025,90049.0,2019-08-28,S,2019-09-04
CA-2020-124352,CD-12790,73120.0,2020-10-15,S,2020-10-21
CA-2019-169397,JB-15925,43017.0,2019-12-24,1,2019-12-27
CA-2021-125451,AH-10075,2920.0,2021-10-23,1,2021-10-24
US-2021-125717,DS-13030,80013.0,2021-09-28,1,2021-10-01
US-2021-124779,BF-11020,76017.0,2021-09-08,1,2021-09-11
CA-2019-102016,TM-21010,13021.0,2019-09-12,S,2019-09-18
CA-2021-123491,JK-15205,94122.0,2021-10-30,S,2021-11-05
CA-2021-135279,BS-11800,10011.0,2021-04-09,1,2021-04-11
CA-2021-134915,EM-14140,85301.0,2021-11-12,0,2021-11-12
CA-2018-125997,MW-18220,10011.0,2018-09-20,1,2018-09-23
CA-2018-138317,NW-18400,19120.0,2018-06-21,S,2018-06-25
CA-2019-163181,AB-10105,77041.0,2019-11-07,S,2019-11-12
CA-2021-104220,BV-11245,50315.0,2021-01-30,S,2021-02-05
CA-2020-126004,BM-11140,10024.0,2020-12-04,1,2020-12-05
CA-2018-121006,SC-20020,48640.0,2018-11-10,S,2018-11-16
CA-2020-166674,RB-19360,13021.0,2020-04-01,2,2020-04-03
CA-2020-126732,LR-16915,90036.0,2020-09-02,S,2020-09-06
CA-2020-128531,NS-18505,75217.0,2020-11-24,2,2020-11-26
CA-2020-157161,JD-15895,29203.0,2020-07-16,2,2020-07-20
CA-2021-135937,KM-16375,85234.0,2021-02-20,S,2021-02-27
CA-2018-124737,AP-10915,80219.0,2018-08-23,S,2018-08-27
US-2020-115819,JO-15280,90049.0,2020-04-19,2,2020-04-24
CA-2021-128965,PS-18760,90008.0,2021-04-17,S,2021-04-22
CA-2018-122931,SM-20950,19134.0,2018-09-29,S,2018-10-03
CA-2018-158372,RD-19900,92037.0,2018-11-10,S,2018-11-16
CA-2021-164168,LS-16975,75081.0,2021-11-12,S,2021-11-18
CA-2020-145548,EB-13750,10011.0,2020-11-11,S,2020-11-16
CA-2020-129126,PK-19075,10011.0,2020-12-14,S,2020-12-19
CA-2020-129280,SM-20905,43055.0,2020-05-03,1,2020-05-05
CA-2018-131947,JA-15970,97477.0,2018-09-17,S,2018-09-22
CA-2020-128818,CJ-12010,10009.0,2020-05-07,S,2020-05-11
CA-2021-131807,GG-14650,95928.0,2021-10-05,S,2021-10-10
CA-2018-126361,VD-21670,84062.0,2018-08-04,2,2018-08-09
CA-2021-131954,DS-13030,98115.0,2021-01-21,S,2021-01-25
CA-2020-129868,MC-18130,90004.0,2020-12-26,S,2020-12-31
CA-2018-127446,MC-17590,76017.0,2018-11-25,S,2018-11-30
CA-2019-113628,AH-10690,33317.0,2019-11-12,S,2019-11-19
CA-2019-160472,RK-19300,46614.0,2019-07-20,2,2019-07-25
CA-2019-161263,TS-21160,43615.0,2019-04-16,S,2019-04-21
CA-2021-152310,DK-12895,98103.0,2021-08-12,S,2021-08-19
CA-2020-163776,JS-16030,39401.0,2020-07-19,S,2020-07-25
CA-2018-163468,JK-15730,60016.0,2018-11-18,1,2018-11-21
CA-2020-114727,LS-16945,80219.0,2020-07-18,S,2020-07-24
CA-2018-154158,CC-12670,33614.0,2018-12-23,2,2018-12-27
CA-2021-118199,LB-16795,98105.0,2021-05-09,1,2021-05-11
US-2021-117534,CV-12295,93727.0,2021-03-25,1,2021-03-26
CA-2018-101931,TS-21370,90049.0,2018-10-28,1,2018-10-31
CA-2019-133242,KH-16510,22204.0,2019-06-18,S,2019-06-24
CA-2021-149048,BM-11650,47201.0,2021-05-13,S,2021-05-17
CA-2019-128608,CS-12490,43615.0,2019-01-12,S,2019-01-17
US-2018-148838,CP-12340,10024.0,2018-03-17,S,2018-03-21
US-2018-164763,MH-17440,39212.0,2018-03-17,S,2018-03-21
CA-2020-109869,TN-21040,85023.0,2020-04-22,S,2020-04-29
CA-2020-109827,LW-16825,85023.0,2020-12-25,S,2021-01-01
US-2019-115238,JW-15220,1841.0,2019-04-30,S,2019-05-04
CA-2021-111332,NC-18340,58103.0,2021-05-20,2,2021-05-22
CA-2018-163552,LA-16780,7601.0,2018-07-11,S,2018-07-15
CA-2020-114601,AA-10480,48234.0,2020-08-26,S,2020-09-02
CA-2018-155264,RP-19270,94110.0,2018-10-19,2,2018-10-22
CA-2019-135685,MP-18175,53209.0,2019-11-16,2,2019-11-18
CA-2021-117667,MS-17980,19134.0,2021-12-04,S,2021-12-09
US-2018-159926,CS-11950,19140.0,2018-11-18,S,2018-11-22
US-2018-159618,DB-12970,77036.0,2018-11-12,S,2018-11-16
CA-2020-142545,JD-15895,7109.0,2020-10-28,S,2020-11-03
US-2021-132444,CD-12280,98105.0,2021-11-18,1,2021-11-21
CA-2020-141397,RC-19825,91104.0,2020-06-20,1,2020-06-21
CA-2018-111451,KL-16555,80906.0,2018-12-26,1,2018-12-28
CA-2021-117947,NG-18355,10011.0,2021-08-18,2,2021-08-23
CA-2020-112256,CK-12205,78501.0,2020-07-23,S,2020-07-28
CA-2020-148852,SV-20785,92704.0,2020-05-26,S,2020-05-31
CA-2018-102988,GM-14695,22304.0,2018-04-05,2,2018-04-09
CA-2020-100244,GM-14695,94122.0,2020-09-20,S,2020-09-24
CA-2020-121671,AA-10480,65807.0,2020-07-17,S,2020-07-22
CA-2021-106859,BF-11215,87105.0,2021-03-13,2,2021-03-18
US-2019-160857,NW-18400,10024.0,2019-05-08,S,2019-05-15
CA-2018-140858,CA-12775,19140.0,2018-06-28,S,2018-07-02
US-2019-147662,KB-16315,44312.0,2019-02-14,S,2019-02-19
CA-2018-169061,AB-10150,10701.0,2018-03-05,2,2018-03-08
CA-2020-103730,SC-20725,19805.0,2020-06-12,1,2020-06-15
CA-2018-118339,BN-11515,55044.0,2018-03-17,S,2018-03-24
CA-2021-140186,PG-18820,93309.0,2021-09-29,1,2021-10-02
US-2021-106145,RA-19885,94109.0,2021-09-26,0,2021-09-26
CA-2021-109701,AM-10360,90032.0,2021-12-02,0,2021-12-03
CA-2021-109085,CK-12325,45373.0,2021-02-17,1,2021-02-20
CA-2020-152170,FH-14275,46350.0,2020-11-12,2,2020-11-15
US-2021-142573,ML-17410,85023.0,2021-07-18,S,2021-07-23
US-2021-142188,JF-15415,98105.0,2021-09-11,0,2021-09-11
CA-2020-162187,NS-18640,43229.0,2020-12-11,0,2020-12-11
CA-2020-154767,BP-11155,7501.0,2020-06-28,2,2020-06-30
CA-2021-140480,HE-14800,19711.0,2021-07-08,S,2021-07-12
CA-2019-146262,VW-21775,44256.0,2019-01-02,S,2019-01-09
US-2021-141677,HK-14890,77070.0,2021-03-26,S,2021-03-30
US-2019-138121,JL-15835,48205.0,2019-12-17,0,2019-12-17
CA-2021-121293,JC-15775,19143.0,2021-07-25,2,2021-07-28
CA-2021-121559,HW-14935,46203.0,2021-06-01,2,2021-06-03
CA-2019-124541,TT-21220,77041.0,2019-04-06,S,2019-04-10
US-2021-110576,RB-19795,19120.0,2021-11-28,S,2021-12-02
US-2019-138093,KM-16225,21215.0,2019-12-10,S,2019-12-16
CA-2020-140501,IM-15070,10009.0,2020-06-23,S,2020-06-28
CA-2020-118689,TC-20980,47905.0,2020-10-02,S,2020-10-09
CA-2018-164973,NM-18445,10024.0,2018-11-04,S,2018-11-09
CA-2020-106530,CL-12565,44105.0,2020-05-08,0,2020-05-08
US-2019-130512,SM-20320,18103.0,2019-08-21,S,2019-08-25
CA-2018-163223,KH-16690,22153.0,2018-03-21,S,2018-03-25
CA-2018-162775,CS-12250,71111.0,2018-01-13,2,2018-01-15
CA-2021-156958,PB-18805,98115.0,2021-12-05,1,2021-12-06
US-2021-116652,RD-19480,94122.0,2021-09-15,S,2021-09-19
CA-2018-114510,JF-15295,84321.0,2018-03-14,S,2018-03-19
CA-2018-114251,MD-17350,19143.0,2018-11-05,S,2018-11-10
CA-2019-125934,SN-20560,7501.0,2019-09-11,S,2019-09-18
CA-2019-144274,PW-19240,19805.0,2019-11-23,2,2019-11-25
CA-2018-146969,AP-10915,90045.0,2018-09-29,S,2018-10-03
CA-2018-149958,AS-10240,33614.0,2018-03-15,S,2018-03-19
CA-2021-141439,TT-21460,47374.0,2021-11-26,S,2021-12-01
CA-2019-144806,GH-14425,85705.0,2019-12-06,S,2019-12-11
CA-2018-151162,EA-14035,43229.0,2018-12-05,S,2018-12-09
US-2019-123960,BD-11605,71203.0,2019-06-11,S,2019-06-16
US-2021-120418,BC-11125,85345.0,2021-06-11,1,2021-06-12
CA-2019-121783,PO-19180,55113.0,2019-11-10,S,2019-11-14
US-2020-115441,SH-19975,53209.0,2020-07-25,2,2020-07-28
US-2020-105578,MY-17380,80134.0,2020-05-30,S,2020-06-04
CA-2021-127026,MH-18115,49201.0,2021-01-21,S,2021-01-27
CA-2021-127306,BH-11710,37604.0,2021-01-14,S,2021-01-18
CA-2021-151799,BF-11170,1841.0,2021-12-14,S,2021-12-18
US-2021-132675,KF-16285,30328.0,2021-09-24,S,2021-09-28
CA-2021-161172,SP-20920,43229.0,2021-03-16,0,2021-03-16
CA-2020-134803,CL-12565,90004.0,2020-05-28,S,2020-06-03
CA-2018-120775,RD-19930,75217.0,2018-10-03,S,2018-10-07
CA-2020-101161,BW-11110,10024.0,2020-10-13,S,2020-10-20
CA-2019-102281,MP-17470,10035.0,2019-10-12,1,2019-10-14
CA-2019-102260,SJ-20125,37064.0,2019-09-22,S,2019-09-26
CA-2021-104864,JS-15685,33023.0,2021-11-18,2,2021-11-23
CA-2019-103870,SP-20860,37130.0,2019-12-27,S,2019-12-31
CA-2018-138681,CT-11995,85705.0,2018-12-20,1,2018-12-22
CA-2021-159464,TB-21355,30328.0,2021-05-18,1,2021-05-19
CA-2020-127243,DS-13180,19140.0,2020-11-28,S,2020-12-04
CA-2018-133592,KM-16375,2908.0,2018-12-31,S,2019-01-07
CA-2020-128412,AP-10915,98105.0,2020-12-10,S,2020-12-17
CA-2018-124478,MA-17560,48183.0,2018-08-08,S,2018-08-12
CA-2021-136448,AS-10090,19143.0,2021-09-16,1,2021-09-18
CA-2019-164084,AG-10525,10011.0,2019-09-07,S,2019-09-12
CA-2021-161774,GT-14710,77041.0,2021-05-14,1,2021-05-15
CA-2018-124730,LS-17245,13501.0,2018-11-26,0,2018-11-26
CA-2019-150714,KH-16690,97477.0,2019-10-26,S,2019-11-01
CA-2021-137463,KM-16225,94086.0,2021-12-16,2,2021-12-20
CA-2020-124590,SP-20920,44134.0,2020-11-12,S,2020-11-16
CA-2018-137092,LS-16975,60653.0,2018-10-20,2,2018-10-22
CA-2021-103380,BF-11005,91104.0,2021-11-21,S,2021-11-25
CA-2019-105627,DK-12895,53142.0,2019-03-08,S,2019-03-12
CA-2021-167941,JF-15565,28314.0,2021-11-06,2,2021-11-09
CA-2021-129021,PO-18850,32303.0,2021-08-23,2,2021-08-26
CA-2020-132997,LW-17215,14609.0,2020-11-07,1,2020-11-09
US-2021-100930,CS-12400,33614.0,2021-04-07,S,2021-04-12
CA-2018-131926,DW-13480,55044.0,2018-06-01,2,2018-06-06
CA-2019-109386,RH-19600,23666.0,2019-11-08,2,2019-11-13
CA-2020-132829,LA-16780,77041.0,2020-12-23,2,2020-12-26
CA-2020-168893,AP-10915,42420.0,2020-11-03,2,2020-11-08
CA-2020-169943,BN-11515,10011.0,2020-05-19,S,2020-05-24
CA-2021-145233,DV-13465,80219.0,2021-12-01,S,2021-12-05
CA-2019-114811,KD-16495,10024.0,2019-11-08,0,2019-11-08
CA-2020-129714,AB-10060,10009.0,2020-09-01,1,2020-09-03
CA-2019-109575,KH-16630,20735.0,2019-09-18,S,2019-09-23
CA-2019-116092,JM-16195,90004.0,2019-02-15,2,2019-02-18
CA-2021-163265,JS-16030,62521.0,2021-02-16,S,2021-02-21
CA-2021-134565,TB-21400,98103.0,2021-06-11,2,2021-06-13
CA-2021-134845,SR-20425,80027.0,2021-04-17,S,2021-04-23
CA-2021-135860,JH-15985,48601.0,2021-12-01,S,2021-12-07
US-2020-141544,PO-18850,19143.0,2020-08-30,1,2020-09-01
US-2020-131611,EP-13915,77036.0,2020-11-05,S,2020-11-09
US-2020-132577,JE-15475,77095.0,2020-11-22,S,2020-11-27
CA-2018-131002,TB-21400,74133.0,2018-09-07,2,2018-09-12
CA-2019-159534,DH-13075,10035.0,2019-03-20,1,2019-03-23
CA-2019-155306,GA-14515,94122.0,2019-04-17,S,2019-04-21
CA-2021-134194,GA-14725,75081.0,2021-12-25,S,2022-01-01
US-2020-150861,EG-13900,11572.0,2020-12-03,1,2020-12-06
CA-2021-133102,ED-13885,77095.0,2021-08-17,S,2021-08-24
US-2020-144057,CV-12805,78745.0,2020-05-09,S,2020-05-13
CA-2021-164378,MM-18055,10024.0,2021-07-15,2,2021-07-18
CA-2018-125829,WB-21850,90045.0,2018-11-04,S,2018-11-11
CA-2019-157322,RH-19600,60188.0,2019-07-02,S,2019-07-06
CA-2021-100223,LS-16945,75220.0,2021-07-05,S,2021-07-10
CA-2019-113131,MB-17305,43229.0,2019-09-24,0,2019-09-24
CA-2019-113145,VD-21670,10011.0,2019-11-01,S,2019-11-05
CA-2019-112452,NC-18340,48911.0,2019-04-04,0,2019-04-04
CA-2021-132199,BO-11350,19134.0,2021-05-03,S,2021-05-08
CA-2019-135580,CL-12565,90049.0,2019-12-30,S,2020-01-03
CA-2021-148404,Dp-13240,28205.0,2021-10-07,S,2021-10-11
US-2021-155425,AB-10600,85705.0,2021-11-10,1,2021-11-11
US-2021-153948,FM-14290,94122.0,2021-11-06,0,2021-11-06
US-2021-158526,KH-16360,40214.0,2021-12-29,2,2022-01-01
US-2021-162670,MF-18250,72209.0,2021-12-23,2,2021-12-28
CA-2019-137113,TW-21025,98105.0,2019-12-01,2,2019-12-05
CA-2021-150910,JL-15130,38301.0,2021-12-22,S,2021-12-28
CA-2020-154018,HA-14920,78041.0,2020-10-13,S,2020-10-19
CA-2018-105165,SZ-20035,77036.0,2018-09-07,1,2018-09-10
CA-2018-104738,SP-20620,78041.0,2018-12-30,2,2019-01-01
US-2018-164406,BD-11605,94122.0,2018-08-15,S,2018-08-19
CA-2021-117324,JP-15520,53711.0,2021-12-08,S,2021-12-13
CA-2021-117212,BT-11530,90036.0,2021-02-26,2,2021-02-28
CA-2020-141957,JG-15310,43055.0,2020-07-21,0,2020-07-21
US-2021-123862,JF-15190,90805.0,2021-01-07,2,2021-01-09
CA-2018-111500,DJ-13510,72209.0,2018-08-17,S,2018-08-21
CA-2021-147207,TS-21655,79907.0,2021-01-02,2,2021-01-04
US-2018-150119,LB-16795,43229.0,2018-04-23,S,2018-04-27
CA-2020-110254,ML-17755,23434.0,2020-08-04,S,2020-08-08
CA-2020-112109,JE-15715,80020.0,2020-07-08,S,2020-07-12
CA-2018-154599,KN-16450,90278.0,2018-04-12,S,2018-04-17
US-2019-103996,RB-19435,92105.0,2019-03-29,2,2019-03-31
CA-2018-103310,GM-14680,95123.0,2018-05-10,S,2018-05-15
CA-2021-148691,CS-12460,10009.0,2021-12-03,S,2021-12-09
CA-2021-147228,SO-20335,38401.0,2021-09-09,S,2021-09-14
CA-2018-110849,JL-15835,90049.0,2018-04-18,S,2018-04-23
CA-2019-127509,AS-10090,65807.0,2019-11-09,S,2019-11-13
CA-2021-155292,RD-19810,40475.0,2021-10-30,1,2021-11-01
CA-2021-143567,TB-21175,42420.0,2021-11-02,2,2021-11-05
CA-2021-133046,DK-13375,98115.0,2021-07-27,2,2021-08-01
US-2020-147711,HF-14995,21215.0,2020-09-03,2,2020-09-08
CA-2018-127866,JD-15895,92503.0,2018-07-20,1,2018-07-23
US-2020-146710,SS-20875,75220.0,2020-08-27,S,2020-09-01
US-2020-143819,KD-16270,10701.0,2020-03-01,S,2020-03-05
US-2020-153815,KL-16555,32216.0,2020-11-06,1,2020-11-09
CA-2018-127166,KH-16360,77070.0,2018-05-21,2,2018-05-23
CA-2018-127131,HR-14830,98103.0,2018-11-24,S,2018-11-30
CA-2021-132976,AG-10495,19140.0,2021-10-13,S,2021-10-17
CA-2019-112214,AH-10690,75220.0,2019-08-05,S,2019-08-11
CA-2021-164826,JF-15415,10024.0,2021-12-28,S,2022-01-04
CA-2019-157770,RD-19585,92592.0,2019-12-13,1,2019-12-15
CA-2018-129091,RA-19885,31907.0,2018-11-22,S,2018-11-27
CA-2018-128237,CA-12265,94110.0,2018-03-25,S,2018-03-30
CA-2019-111514,SC-20260,94122.0,2019-08-31,1,2019-09-02
CA-2019-135545,KM-16720,90004.0,2019-11-24,S,2019-11-30
CA-2018-126760,KM-16720,89031.0,2018-07-26,S,2018-08-02
CA-2018-126403,RR-19525,1852.0,2018-09-09,2,2018-09-12
CA-2020-131205,AA-10645,40324.0,2020-09-04,S,2020-09-08
US-2020-155768,LB-16795,93030.0,2020-12-01,0,2020-12-01
CA-2019-114468,TD-20995,60440.0,2019-08-23,0,2019-08-23
CA-2020-133711,MC-17425,36608.0,2020-11-26,1,2020-11-29
CA-2018-130673,MC-17590,78666.0,2018-05-20,2,2018-05-22
CA-2018-129189,HM-14860,75217.0,2018-07-21,S,2018-07-25
CA-2021-131492,HH-15010,94110.0,2021-10-19,2,2021-10-24
CA-2019-110667,NF-18595,10009.0,2019-04-04,S,2019-04-08
CA-2021-166317,JE-15610,53209.0,2021-09-22,S,2021-09-26
CA-2021-167640,FC-14245,94109.0,2021-03-06,S,2021-03-10
CA-2018-132010,MA-17995,23223.0,2018-10-13,1,2018-10-15
CA-2021-164042,KL-16645,77095.0,2021-05-23,S,2021-05-27
CA-2019-113110,BK-11260,92404.0,2019-03-19,S,2019-03-23
CA-2021-163860,LO-17170,61604.0,2021-12-28,S,2022-01-01
CA-2019-109337,DL-13330,46226.0,2019-11-21,2,2019-11-23
CA-2021-129462,JE-15745,41042.0,2021-06-16,2,2021-06-21
CA-2021-129378,NS-18505,95123.0,2021-10-01,1,2021-10-02
CA-2021-129294,KD-16615,90032.0,2021-03-16,S,2021-03-21
CA-2018-131450,LR-16915,92124.0,2018-08-08,S,2018-08-15
CA-2018-131009,SC-20380,79907.0,2018-03-01,S,2018-03-05
CA-2020-129308,CC-12100,19120.0,2020-07-07,S,2020-07-13
CA-2021-100622,DK-13090,32839.0,2021-11-03,S,2021-11-07
CA-2021-151484,CV-12805,19120.0,2021-04-20,1,2021-04-23
CA-2021-145226,DL-13315,10035.0,2021-12-08,2,2021-12-10
CA-2021-144904,KW-16435,10009.0,2021-09-25,S,2021-10-01
US-2021-130953,RF-19735,73120.0,2021-07-29,S,2021-08-03
CA-2020-157266,TB-21280,20016.0,2020-05-26,S,2020-06-01
CA-2020-168956,EA-14035,60623.0,2020-02-16,S,2020-02-20
CA-2020-168354,RH-19510,2908.0,2020-09-19,1,2020-09-21
CA-2020-168046,JD-15895,10024.0,2020-01-25,2,2020-01-28
CA-2020-133550,KL-16645,48205.0,2020-07-31,S,2020-08-06
CA-2019-115938,SA-20830,23223.0,2019-06-26,S,2019-06-30
CA-2019-115798,KL-16645,19711.0,2019-11-13,S,2019-11-19
CA-2019-115742,DP-13000,47150.0,2019-04-18,S,2019-04-22
CA-2019-154284,SZ-20035,60174.0,2019-12-21,2,2019-12-26
CA-2019-153717,DL-13495,48227.0,2019-12-25,S,2020-01-01
CA-2021-134495,BF-11020,32216.0,2021-04-01,2,2021-04-04
CA-2021-137428,AY-10555,92054.0,2021-12-16,2,2021-12-21
CA-2020-156748,BS-11755,48227.0,2020-11-30,S,2020-12-06
CA-2020-144344,PG-18820,33437.0,2020-10-28,0,2020-10-28
CA-2019-129896,PF-19120,85234.0,2019-06-15,S,2019-06-20
CA-2019-140718,FA-14230,27604.0,2019-07-02,1,2019-07-04
