order_item_id,order_id,product_id,unit_price,unit_cost,quantity
101,CA-2020-158568,TEC-AC-10001767,39.99,35.59,3
102,CA-2020-158568,OFF-BI-10002609,2.98,1.61,3
103,CA-2020-129903,OFF-PA-10004040,5.98,3.05,4
104,US-2019-156867,TEC-AC-10001552,49.77,44.3,6
105,US-2019-156867,FUR-FU-10004006,42.65,35.4,3
106,US-2019-156867,OFF-BI-10002794,40.98,20.9,3
107,CA-2021-119004,TEC-AC-10003499,11.58,7.06,8
108,CA-2021-119004,TEC-PH-10002844,34.99,25.89,1
109,CA-2021-119004,OFF-AR-10000390,4.13,2.23,1
110,CA-2019-129476,TEC-AC-10000844,84.99,54.39,5
111,CA-2021-146780,FUR-FU-10001934,20.98,15.53,2
112,CA-2020-128867,OFF-AR-10000380,37.98,26.59,2
113,CA-2020-128867,OFF-BI-10003981,4.54,2.32,6
114,CA-2018-115259,OFF-FA-10000621,3.58,1.83,14
115,CA-2018-115259,OFF-EN-10002600,2.95,1.53,2
116,CA-2018-115259,OFF-PA-10004965,9.99,5.49,3
117,CA-2018-115259,OFF-EN-10002504,27.18,14.41,6
118,CA-2019-110457,FUR-TA-10001768,262.51,207.38,3
119,US-2019-136476,OFF-BI-10003650,525.98,273.51,1
120,CA-2020-103730,FUR-FU-10002157,15.68,9.56,3
121,CA-2020-103730,OFF-BI-10003910,7.71,4.24,4
122,CA-2020-103730,OFF-ST-10000777,37.76,27.19,6
123,CA-2020-103730,OFF-EN-10002500,12.78,7.03,9
124,CA-2020-103730,TEC-PH-10003875,9.72,6.9,7
125,US-2018-152030,FUR-CH-10004063,285.98,203.05,3
126,US-2018-134614,FUR-TA-10004534,205.9,170.9,6
127,US-2021-107272,OFF-BI-10003274,3.98,2.11,2
128,US-2021-107272,OFF-ST-10002974,43.57,30.5,7
129,US-2020-125969,FUR-CH-10001146,50.89,45.29,2
130,US-2020-125969,FUR-FU-10003773,79.52,70.77,3
131,US-2021-164147,TEC-PH-10002293,19.99,14.39,5
132,US-2021-164147,OFF-PA-10002377,48.94,24.47,2
133,US-2021-164147,OFF-FA-10002780,2.98,1.61,9
134,CA-2020-145583,OFF-PA-10001804,6.68,3.47,3
135,CA-2020-145583,OFF-PA-10001736,35.44,18.78,1
136,CA-2020-145583,OFF-AR-10001149,2.88,2.02,4
137,CA-2020-145583,OFF-FA-10002988,2.01,1.03,2
138,CA-2020-145583,OFF-BI-10004781,31.74,16.5,3
139,CA-2020-145583,OFF-SU-10001218,10.98,7.91,6
140,CA-2020-145583,FUR-FU-10001706,3.08,1.6,14
141,CA-2020-110366,FUR-FU-10004848,51.75,36.23,2
142,CA-2021-106180,OFF-AR-10000940,2.94,2.15,3
143,CA-2021-106180,OFF-EN-10004030,3.62,1.92,3
144,CA-2021-106180,OFF-PA-10004327,47.9,24.91,3
145,CA-2021-155376,OFF-AP-10001058,279.81,207.06,3
146,CA-2019-110744,OFF-ST-10003656,95.99,93.11,7
147,CA-2018-110072,FUR-FU-10000521,29.34,20.24,4
148,CA-2020-114489,TEC-PH-10000215,34.95,25.51,11
149,CA-2020-114489,TEC-PH-10001448,49.99,47.99,3
150,CA-2020-114489,FUR-CH-10000454,243.98,170.79,8
151,CA-2020-114489,OFF-BI-10002735,34.31,18.18,5
152,CA-2020-158834,OFF-AP-10000326,39.48,28.03,5
153,CA-2020-158834,TEC-PH-10001254,126.99,93.97,2
154,CA-2019-124919,OFF-PA-10001950,8.34,4.59,7
155,CA-2019-124919,OFF-PA-10002254,26.38,14.25,4
156,CA-2019-124919,OFF-ST-10001590,13.48,9.98,6
157,CA-2019-118948,OFF-AR-10001547,2.21,1.61,3
158,CA-2018-104269,FUR-CH-10004063,285.98,203.05,2
159,CA-2020-114104,OFF-LA-10002475,7.31,3.87,2
160,CA-2020-114104,TEC-PH-10004536,134.99,101.24,7
161,CA-2020-162733,OFF-PA-10002751,5.98,3.29,1
162,CA-2019-119697,TEC-AC-10003657,33.99,26.51,2
163,CA-2020-154508,OFF-EN-10001990,5.68,3.01,5
164,CA-2020-113817,OFF-BI-10004002,17.3,9.0,2
165,CA-2018-139892,OFF-AR-10004441,4.14,2.4,3
166,CA-2018-139892,TEC-MA-10000822,1699.99,1189.99,8
167,CA-2018-139892,OFF-ST-10000991,114.97,111.52,3
168,CA-2018-139892,FUR-CH-10004287,276.2,196.1,9
169,CA-2018-139892,OFF-AR-10002656,6.68,4.21,6
170,CA-2018-139892,OFF-AP-10002518,177.98,126.37,5
171,CA-2018-139892,TEC-PH-10003931,59.99,44.99,3
172,CA-2018-118962,OFF-PA-10000659,6.98,3.7,3
173,CA-2018-118962,OFF-PA-10001144,55.48,28.85,2
174,CA-2018-118962,FUR-CH-10003817,60.74,45.56,7
175,US-2018-100853,OFF-AP-10000891,131.12,91.78,2
176,US-2018-100853,OFF-LA-10003148,6.3,3.4,4
177,US-2021-152366,OFF-AP-10002684,121.58,85.11,4
178,US-2019-101511,FUR-CH-10004698,80.98,58.31,7
179,US-2019-101511,OFF-SU-10002189,3.97,3.93,5
180,CA-2019-137225,OFF-AR-10001940,3.28,1.87,1
181,CA-2018-166191,OFF-ST-10003455,15.51,11.48,2
182,CA-2018-166191,TEC-AC-10004659,72.99,47.44,7
183,CA-2018-158274,TEC-PH-10003273,125.99,93.23,4
184,CA-2018-158274,TEC-PH-10004896,29.99,21.59,5
185,CA-2018-158274,TEC-AC-10002345,14.5,10.88,2
186,CA-2020-105018,OFF-BI-10001890,3.58,1.86,2
187,CA-2018-123260,TEC-AC-10002323,22.1,19.23,8
188,CA-2020-157000,OFF-ST-10001328,15.51,11.17,3
189,CA-2020-157000,OFF-PA-10001950,8.34,4.59,3
190,CA-2019-102281,FUR-BO-10002613,280.98,196.69,4
191,CA-2019-102281,TEC-PH-10001552,11.96,8.61,6
192,CA-2019-102281,OFF-PA-10000061,6.48,3.37,8
193,CA-2019-102281,FUR-BO-10002545,260.98,193.13,3
194,CA-2019-102281,OFF-AR-10003514,3.98,2.67,5
195,CA-2019-131457,OFF-EN-10001509,2.04,1.08,7
196,CA-2018-140004,OFF-AR-10004685,4.63,3.1,2
197,CA-2018-140004,OFF-AR-10004027,2.52,1.49,3
198,CA-2021-107720,OFF-ST-10001414,15.42,11.41,3
199,US-2021-124303,OFF-BI-10000343,4.91,2.6,2
200,US-2021-124303,OFF-PA-10002749,6.69,3.41,3
201,CA-2021-105074,OFF-PA-10002666,9.06,4.98,3
202,CA-2018-133690,FUR-TA-10004289,218.75,190.31,2
203,CA-2018-133690,OFF-AP-10003622,3.25,2.31,1
204,US-2021-116701,OFF-AP-10003217,165.71,122.63,2
205,CA-2021-126382,FUR-FU-10002960,6.28,3.64,7
206,CA-2021-108329,TEC-PH-10001918,138.99,100.07,4
207,CA-2021-135860,OFF-ST-10000642,20.98,19.51,4
208,CA-2021-135860,TEC-PH-10001700,65.99,48.17,2
209,CA-2021-135860,OFF-BI-10003274,3.98,2.11,4
210,CA-2021-135860,OFF-FA-10000134,5.81,4.01,9
211,CA-2021-135860,OFF-ST-10001522,91.99,88.31,1
212,CA-2019-101007,TEC-AC-10001266,13.0,7.15,2
213,CA-2019-146262,OFF-LA-10004544,14.8,7.4,2
214,CA-2019-146262,FUR-BO-10004695,180.98,139.35,5
215,CA-2019-146262,TEC-PH-10002844,34.99,25.89,3
216,CA-2019-146262,TEC-MA-10000864,440.0,237.6,9
217,CA-2019-146262,TEC-AC-10000109,55.99,42.55,2
218,CA-2020-130162,OFF-ST-10001328,15.51,11.17,6
219,CA-2020-130162,TEC-PH-10002563,125.99,93.23,3
220,CA-2019-169397,OFF-FA-10000585,3.49,1.88,2
221,CA-2019-169397,OFF-PA-10004000,4.73,2.41,6
222,CA-2019-169397,OFF-BI-10002852,16.48,8.4,4
223,CA-2019-169397,FUR-FU-10000087,22.72,13.4,4
224,CA-2019-169397,TEC-MA-10001148,399.99,215.99,4
225,CA-2019-169397,OFF-AR-10001958,16.98,12.23,2
226,CA-2019-163055,OFF-AR-10001026,2.2,1.23,1
227,CA-2019-163055,FUR-TA-10003748,124.49,97.1,5
228,CA-2019-163055,OFF-ST-10002485,21.98,21.76,1
229,US-2019-145436,FUR-CH-10004860,100.98,94.92,2
230,US-2019-145436,FUR-CH-10004477,60.89,43.23,8
231,US-2018-156216,OFF-BI-10001679,8.88,4.44,7
232,US-2021-100930,FUR-TA-10001705,212.6,167.95,2
233,US-2021-100930,FUR-TA-10003473,376.13,289.62,3
234,US-2021-100930,OFF-BI-10001679,8.88,4.44,2
235,US-2021-100930,FUR-FU-10004017,107.53,86.02,3
236,US-2021-100930,TEC-AC-10003832,257.49,208.57,3
237,CA-2021-160514,OFF-PA-10002479,5.28,2.9,2
238,CA-2020-157749,OFF-PA-10003349,6.48,3.3,5
239,CA-2020-157749,FUR-FU-10000576,209.84,155.28,5
240,CA-2020-157749,FUR-FU-10004351,9.74,5.45,3
241,CA-2020-157749,TEC-PH-10000011,19.99,10.39,2
242,CA-2020-157749,FUR-TA-10002607,70.89,59.55,5
243,CA-2020-157749,FUR-FU-10002505,3.37,2.29,3
244,CA-2020-157749,OFF-AR-10004685,4.63,3.1,2
245,CA-2018-131926,FUR-CH-10004063,285.98,203.05,7
246,CA-2018-131926,OFF-ST-10002276,83.36,62.52,2
247,CA-2018-131926,OFF-PA-10004082,7.98,3.99,6
248,CA-2018-131926,OFF-AP-10002945,300.65,201.44,5
249,CA-2018-131926,OFF-PA-10000061,6.48,3.37,4
250,CA-2020-154739,FUR-CH-10002965,200.98,146.72,2
251,CA-2020-145625,OFF-PA-10004569,7.61,4.03,1
252,CA-2020-145625,TEC-AC-10003832,257.49,208.57,13
253,CA-2020-146941,OFF-ST-10001228,13.43,9.67,6
254,CA-2020-146941,OFF-EN-10003296,90.48,49.76,4
255,US-2019-159982,FUR-FU-10002505,3.37,2.29,9
256,US-2019-159982,OFF-ST-10004804,51.48,50.97,2
257,US-2019-159982,OFF-ST-10001590,13.48,9.98,5
258,US-2019-159982,TEC-PH-10001580,134.98,98.54,6
259,CA-2021-163139,TEC-AC-10000290,6.79,4.48,3
260,CA-2021-163139,OFF-ST-10002790,73.85,71.63,3
261,CA-2021-163139,OFF-BI-10003460,4.38,2.28,5
262,US-2021-155299,OFF-AP-10002203,4.06,3.04,2
263,US-2018-106992,TEC-MA-10000822,1699.99,1189.99,3
264,US-2018-106992,TEC-MA-10003353,599.99,395.99,7
265,CA-2020-125318,TEC-PH-10001433,102.57,74.88,4
266,CA-2019-155040,TEC-AC-10004469,39.95,22.37,2
267,CA-2021-136826,OFF-AR-10003602,5.84,3.1,3
268,CA-2020-111010,OFF-FA-10003472,1.26,1.21,6
269,US-2021-145366,OFF-ST-10004180,46.51,44.65,1
270,US-2021-145366,OFF-EN-10004386,23.99,12.0,3
271,CA-2021-163979,OFF-ST-10003208,181.46,128.84,4
272,CA-2019-155334,TEC-AC-10003628,29.99,16.79,7
273,CA-2019-155334,FUR-FU-10003274,1.76,0.99,3
274,CA-2019-155334,OFF-BI-10002557,4.55,2.28,3
275,CA-2021-118136,OFF-PA-10002615,4.41,2.38,2
276,CA-2021-118136,OFF-AR-10001427,5.98,4.43,1
277,CA-2021-132976,OFF-PA-10000673,7.28,3.79,2
278,CA-2021-132976,OFF-PA-10004470,5.68,3.07,4
279,CA-2021-132976,OFF-ST-10000876,12.44,8.96,6
280,CA-2021-132976,OFF-LA-10002043,10.35,5.38,3
281,US-2019-161991,OFF-BI-10004967,2.08,1.1,5
282,US-2019-161991,TEC-PH-10001760,199.0,105.47,7
283,CA-2019-130890,FUR-TA-10002903,259.71,197.38,5
284,CA-2019-130883,OFF-PA-10000474,35.44,18.78,5
285,CA-2019-130883,TEC-AC-10001956,59.95,38.37,5
286,CA-2019-130883,OFF-PA-10004100,6.48,3.37,6
287,CA-2020-112697,OFF-BI-10000778,120.98,60.49,7
288,CA-2020-112697,OFF-AP-10002684,121.58,85.11,2
289,CA-2020-112697,OFF-SU-10000646,240.37,233.16,5
290,CA-2020-110772,OFF-FA-10002983,3.41,1.77,7
291,CA-2020-110772,OFF-LA-10004689,2.89,1.53,8
292,CA-2020-110772,TEC-AC-10002001,159.99,100.79,2
293,CA-2020-110772,FUR-BO-10004709,57.98,45.22,3
294,CA-2018-111451,FUR-FU-10004091,46.94,27.69,8
295,CA-2018-111451,FUR-CH-10001891,95.98,70.07,3
296,CA-2018-111451,FUR-FU-10002918,90.98,80.97,3
297,CA-2018-111451,OFF-BI-10004593,52.4,28.3,5
298,CA-2018-111451,OFF-FA-10004854,11.48,6.08,3
299,CA-2020-142545,OFF-PA-10002105,6.48,3.37,5
300,CA-2020-142545,OFF-ST-10002756,135.31,133.96,8
301,CA-2020-142545,OFF-PA-10004243,18.97,9.86,3
302,CA-2020-142545,FUR-FU-10001861,19.4,9.89,4
303,CA-2020-142545,OFF-BI-10002706,14.28,7.71,1
304,US-2021-152380,FUR-TA-10002533,146.05,116.84,3
305,CA-2019-144253,FUR-FU-10002671,13.4,6.97,2
306,CA-2018-130960,OFF-AR-10003651,3.28,2.33,3
307,CA-2018-111003,OFF-BI-10001072,15.16,8.19,3
308,CA-2018-111003,OFF-AR-10002135,48.2,34.22,6
309,CA-2021-126774,OFF-AR-10002804,4.89,2.89,1
310,CA-2020-142902,FUR-FU-10001918,4.73,2.89,4
311,CA-2020-142902,FUR-CH-10004086,291.73,207.13,2
312,CA-2020-142902,FUR-FU-10001756,19.04,13.52,1
313,CA-2020-142902,OFF-LA-10000634,2.61,1.41,3
314,CA-2018-120887,FUR-FU-10001588,29.18,16.63,3
315,CA-2018-167850,TEC-PH-10002398,111.49,78.04,2
316,CA-2018-167850,OFF-PA-10001937,6.48,3.37,3
317,CA-2018-164259,OFF-AR-10003373,30.98,22.62,4
318,CA-2018-164973,FUR-CH-10002602,150.98,111.73,1
319,CA-2018-164973,TEC-MA-10002927,1995.99,998.0,2
320,CA-2018-164973,TEC-PH-10004093,45.99,32.65,6
321,CA-2018-164973,TEC-AC-10000892,90.0,57.6,4
322,CA-2018-164973,OFF-ST-10002974,43.57,30.5,1
323,CA-2018-156601,OFF-FA-10000624,3.58,1.79,2
324,CA-2020-162138,OFF-BI-10004593,52.4,28.3,6
325,CA-2020-162138,TEC-AC-10001908,99.99,64.99,1
326,CA-2021-153339,FUR-FU-10001967,19.99,14.99,1
327,US-2020-141544,TEC-PH-10003645,161.61,119.59,3
328,US-2020-141544,OFF-ST-10000675,33.89,25.42,2
329,US-2020-141544,FUR-CH-10003312,280.98,261.31,4
330,US-2020-141544,OFF-LA-10001074,12.53,6.64,10
331,US-2020-141544,OFF-BI-10001524,20.98,10.91,6
332,US-2020-150147,TEC-PH-10004614,69.0,51.75,2
333,US-2020-150147,OFF-BI-10001153,34.54,17.27,2
334,US-2020-150147,OFF-BI-10001982,5.44,2.77,3
335,CA-2019-137946,OFF-BI-10001922,5.94,3.15,1
336,CA-2019-137946,TEC-CO-10001449,599.99,311.99,2
337,CA-2019-137946,OFF-BI-10004140,4.49,2.47,4
338,CA-2018-129924,OFF-BI-10003314,4.82,2.46,2
339,CA-2018-129924,FUR-TA-10004575,290.98,238.6,3
340,CA-2019-128167,OFF-FA-10000490,1.24,0.66,4
341,CA-2018-122336,OFF-AR-10000122,5.58,4.19,4
342,CA-2018-122336,OFF-BI-10003656,169.99,91.79,10
343,CA-2018-122336,OFF-FA-10002780,2.98,1.61,13
344,CA-2018-122336,TEC-PH-10000702,9.99,5.29,12
345,US-2019-120712,OFF-ST-10000107,27.75,22.76,4
346,CA-2021-169901,TEC-PH-10002293,19.99,14.39,3
347,CA-2021-134306,OFF-AR-10004027,2.52,1.49,3
348,CA-2021-134306,OFF-PA-10000249,12.28,6.51,2
349,CA-2021-134306,OFF-AR-10001374,6.48,4.41,2
350,CA-2020-129714,TEC-AC-10000290,6.79,4.48,1
351,CA-2020-129714,OFF-PA-10001970,12.28,6.51,2
352,CA-2020-129714,OFF-BI-10002160,3.81,1.98,1
353,CA-2020-129714,OFF-PA-10001970,12.28,6.51,4
354,CA-2020-129714,OFF-BI-10004995,1360.99,734.93,4
355,CA-2020-138520,FUR-BO-10002268,80.98,65.59,6
356,CA-2020-138520,OFF-EN-10001137,4.13,2.23,2
357,CA-2020-138520,OFF-AR-10002399,4.26,2.51,4
358,CA-2020-138520,OFF-PA-10002713,6.88,3.72,5
359,CA-2020-130001,OFF-PA-10002666,9.06,4.98,5
360,CA-2021-155698,OFF-AP-10001124,80.98,59.93,8
361,CA-2021-155698,OFF-LA-10001158,10.35,5.38,2
362,CA-2021-144904,OFF-LA-10001158,10.35,5.38,2
363,CA-2021-144904,FUR-CH-10000785,180.98,133.93,3
364,CA-2021-144904,OFF-AR-10003732,2.78,2.06,2
365,CA-2021-144904,FUR-FU-10000023,5.89,3.3,8
366,CA-2018-123344,OFF-ST-10001713,52.99,50.87,4
367,CA-2020-155516,OFF-BI-10002412,5.8,3.19,4
368,CA-2020-155516,OFF-SU-10001225,3.68,3.61,2
369,CA-2020-155516,OFF-ST-10002406,14.97,10.78,7
370,CA-2020-155516,FUR-BO-10002545,260.98,193.13,4
371,CA-2021-104745,OFF-PA-10002036,6.48,3.3,5
372,CA-2021-104745,OFF-ST-10002205,22.26,16.25,3
373,US-2018-119137,OFF-BI-10001982,5.44,2.77,5
374,US-2018-119137,TEC-AC-10003911,159.99,105.59,8
375,US-2018-119137,OFF-AR-10000658,11.55,8.32,1
376,US-2018-119137,TEC-AC-10002076,59.88,50.9,10
377,US-2020-134656,OFF-PA-10003039,30.98,17.04,4
378,US-2021-134481,FUR-TA-10004915,303.76,255.16,7
379,CA-2019-130792,OFF-AP-10000696,14.42,9.66,3
380,CA-2019-130792,OFF-ST-10003327,9.93,7.05,3
381,CA-2019-130792,OFF-BI-10000309,15.22,7.76,4
382,CA-2020-134775,OFF-PA-10004734,7.28,3.64,7
383,CA-2020-134775,OFF-BI-10002225,20.64,10.73,3
384,CA-2019-125395,TEC-AC-10004708,20.95,16.55,2
385,US-2019-168935,FUR-TA-10000617,227.55,177.49,3
386,US-2019-168935,TEC-AC-10002335,34.99,28.34,3
387,CA-2019-122756,TEC-MA-10001681,401.95,204.99,4
388,CA-2019-122756,FUR-FU-10001935,3.7,2.18,1
389,CA-2018-115973,OFF-AR-10004757,3.28,2.2,1
390,CA-2021-101798,OFF-BI-10000050,7.3,3.87,4
391,CA-2021-101798,TEC-AC-10001998,19.99,13.19,2
392,US-2018-135972,TEC-PH-10003012,153.99,109.33,2
393,US-2018-135972,TEC-CO-10002313,599.99,365.99,3
394,US-2018-134971,OFF-BI-10003982,20.77,11.01,3
395,CA-2021-102946,OFF-BI-10004492,31.58,16.74,3
396,CA-2021-165603,OFF-ST-10000798,24.98,20.23,2
397,CA-2021-165603,OFF-PA-10002552,6.48,3.37,2
398,CA-2019-122259,OFF-SU-10002573,17.53,12.27,4
399,CA-2020-108987,OFF-ST-10001580,14.98,10.79,3
400,CA-2020-108987,FUR-BO-10004834,880.98,678.35,4
401,CA-2020-108987,OFF-ST-10000934,40.98,40.98,4
402,CA-2020-108987,TEC-AC-10000158,35.99,28.43,2
403,CA-2018-113166,OFF-PA-10001947,5.98,3.05,2
404,CA-2018-155208,OFF-AR-10003478,8.14,4.88,6
405,CA-2021-117933,OFF-AP-10004249,11.97,8.74,3
406,CA-2021-117457,TEC-AC-10000158,35.99,28.43,5
407,CA-2021-117457,TEC-CO-10004115,499.99,254.99,3
408,CA-2021-117457,OFF-PA-10003724,5.43,2.77,5
409,CA-2021-117457,FUR-TA-10002041,179.29,159.57,7
410,CA-2021-117457,OFF-PA-10002893,9.68,5.03,1
411,CA-2021-117457,OFF-LA-10003766,3.15,1.64,9
412,CA-2021-117457,OFF-PA-10001970,55.98,28.55,1
413,CA-2021-117457,FUR-BO-10001972,120.98,100.41,13
414,CA-2021-117457,FUR-CH-10003956,70.98,66.01,2
415,CA-2021-142636,OFF-PA-10000157,19.98,10.59,7
416,CA-2021-142636,FUR-CH-10001891,95.98,70.07,4
417,CA-2021-122105,OFF-AR-10004344,11.99,8.75,8
418,CA-2020-148796,FUR-CH-10004886,95.95,69.08,5
419,CA-2021-154816,OFF-PA-10003845,5.78,2.95,1
420,CA-2021-110478,OFF-AR-10001573,2.33,1.65,4
421,CA-2021-110478,OFF-EN-10000483,15.25,8.24,1
422,CA-2018-142048,TEC-AC-10004114,40.99,23.36,6
423,CA-2021-125388,FUR-FU-10004712,14.14,10.46,4
424,CA-2021-125388,OFF-ST-10000918,10.9,8.07,3
425,CA-2021-155705,FUR-CH-10000015,216.6,160.28,4
426,CA-2021-149160,FUR-FU-10003347,14.2,8.66,2
427,CA-2021-149160,OFF-BI-10001543,35.99,18.71,8
428,CA-2018-101476,TEC-MA-10000029,69.99,39.89,1
429,CA-2021-152275,OFF-AR-10000369,1.39,1.03,6
430,US-2020-123750,OFF-BI-10004584,315.98,167.47,2
431,US-2020-123750,TEC-AC-10004659,72.99,47.44,7
432,US-2020-123750,TEC-AC-10004659,72.99,47.44,5
433,US-2020-123750,OFF-ST-10000617,2.98,2.77,2
434,CA-2020-127369,OFF-ST-10003306,142.86,101.43,5
435,US-2018-150574,OFF-BI-10000773,8.02,4.25,2
436,US-2018-150574,TEC-AC-10002600,61.95,53.28,5
437,CA-2020-147375,TEC-MA-10002937,479.99,321.59,3
438,CA-2020-147375,OFF-PA-10001970,55.98,28.55,7
